Stock,Position,Profit,Open position,close position,date start with time,date end with time
CBA,Long,18.18,125.38,127.66,2024-11-22 12:15,2024-11-22 12:45
QAN,Long,66.62,10.19,10.54,2024-11-25 15:10,2024-11-25 16:40
TJXQ,Long,-143.27,52.68,52.12,2024-11-28 11:15,2024-11-28 14:15
QAN,Long,51.09,8.56,8.84,2024-12-02 14:00,2024-12-02 15:30
TJXQ,Long,-27.14,38.62,38.51,2024-12-05 13:15,2024-12-05 17:15
CBA,Long,2.5,159.05,159.58,2024-12-09 14:10,2024-12-09 14:40
QAN,Long,46.64,9.41,9.61,2024-12-10 11:00,2024-12-10 11:15
TJXQ,Long,-3.23,37.06,37.08,2024-12-13 15:45,2024-12-13 16:00
CBA,Long,45.93,176.41,181.62,2024-12-16 11:45,2024-12-16 15:45
QAN,Long,-8.24,4.8,4.72,2024-12-20 15:30,2024-12-20 17:30
TJXQ,Long,395.61,63.15,65.16,2024-12-24 13:30,2024-12-24 17:30
CBA,Long,87.55,176.78,180.45,2024-12-25 15:10,2024-12-25 19:10
QAN,Long,-11.78,8.26,8.14,2024-12-30 11:00,2024-12-30 14:00
CBA,Long,17.63,137.61,138.39,2025-01-02 13:30,2025-01-02 13:45
QAN,Long,28.64,9.64,9.86,2025-01-06 14:30,2025-01-06 15:30
TJXQ,Long,-102.17,46.06,45.39,2025-01-08 15:45,2025-01-08 18:45
CBA,Long,61.17,162.93,167.5,2025-01-10 10:45,2025-01-10 13:45
QAN,Long,-3.06,5.31,5.31,2025-01-14 11:15,2025-01-14 13:15
TJXQ,Long,118.99,40.49,41.74,2025-01-17 12:00,2025-01-17 16:00
CBA,Long,8.75,106.55,107.13,2025-01-21 10:30,2025-01-21 11:30
QAN,Long,-14.51,7.29,7.17,2025-01-24 15:45,2025-01-24 16:15
TJXQ,Long,-131.15,56.78,55.49,2025-01-27 13:15,2025-01-27 14:15
CBA,Long,25.94,111.08,112.95,2025-01-29 15:30,2025-01-29 16:00
TJXQ,Long,17.92,57.46,57.89,2025-02-03 11:15,2025-02-03 12:00
CBA,Long,117.2,163.7,169.82,2025-02-06 13:15,2025-02-06 16:15
QAN,Long,2.39,9.45,9.54,2025-02-07 12:15,2025-02-07 13:15
TJXQ,Long,103.73,55.77,56.2,2025-02-10 13:10,2025-02-10 13:55
CBA,Long,-27.74,144.0,142.79,2025-02-13 10:05,2025-02-13 13:05
QAN,Long,35.64,7.43,7.59,2025-02-18 13:15,2025-02-18 13:30
TJXQ,Long,-147.96,31.44,30.86,2025-02-21 14:10,2025-02-21 18:10
CBA,Long,-44.88,149.28,147.9,2025-02-24 13:10,2025-02-24 14:40
QAN,Long,-15.39,6.01,5.85,2025-02-27 14:45,2025-02-27 15:30
TJXQ,Long,66.15,35.09,35.81,2025-02-28 11:10,2025-02-28 12:10
QAN,Long,-24.7,6.67,6.59,2025-03-03 12:45,2025-03-03 13:30
TJXQ,Long,48.76,51.6,52.71,2025-03-06 12:15,2025-03-06 16:15
CBA,Long,-32.71,140.24,137.27,2025-03-07 11:05,2025-03-07 12:35
QAN,Long,-22.09,5.01,4.93,2025-03-12 14:30,2025-03-12 15:30
TJXQ,Long,-58.78,56.7,56.33,2025-03-13 15:05,2025-03-13 16:35
CBA,Long,-59.71,157.83,154.17,2025-03-17 15:30,2025-03-17 19:30
QAN,Long,-30.7,6.25,6.14,2025-03-20 10:45,2025-03-20 11:45
TJXQ,Long,369.96,62.18,63.68,2025-03-24 11:45,2025-03-24 12:30
CBA,Long,46.14,177.67,182.47,2025-03-26 14:45,2025-03-26 16:15
QAN,Long,-5.7,7.13,7.13,2025-03-28 15:30,2025-03-28 15:45
CBA,Long,52.04,184.97,187.82,2025-04-01 13:30,2025-04-01 17:30
QAN,Long,-46.12,10.0,9.79,2025-04-04 12:15,2025-04-04 16:15
TJXQ,Long,276.28,38.66,40.05,2025-04-07 12:10,2025-04-07 14:10
CBA,Long,72.15,114.27,116.89,2025-04-10 15:30,2025-04-10 19:30
QAN,Long,-20.24,6.98,6.83,2025-04-14 15:15,2025-04-14 15:30
TJXQ,Long,17.87,35.53,35.75,2025-04-18 13:00,2025-04-18 13:15
CBA,Long,23.49,182.85,184.8,2025-04-21 13:00,2025-04-21 14:00
QAN,Long,45.32,10.45,10.8,2025-04-24 11:15,2025-04-24 12:45
TJXQ,Long,-109.38,46.83,46.15,2025-04-25 13:30,2025-04-25 14:15
CBA,Long,132.92,135.69,140.32,2025-04-28 10:10,2025-04-28 13:10
TJXQ,Long,91.58,40.58,41.56,2025-05-02 15:10,2025-05-02 19:10
CBA,Long,-10.07,174.22,173.96,2025-05-06 14:15,2025-05-06 18:15
QAN,Long,74.57,10.1,10.41,2025-05-08 11:15,2025-05-08 11:30
TJXQ,Long,-0.82,39.77,39.79,2025-05-12 15:05,2025-05-12 19:05
CBA,Long,-142.99,182.19,177.54,2025-05-13 13:00,2025-05-13 17:00
QAN,Long,-34.82,4.59,4.48,2025-05-16 13:10,2025-05-16 15:10
TJXQ,Long,-19.61,51.06,50.8,2025-05-21 14:15,2025-05-21 16:15
CBA,Long,115.77,155.14,160.04,2025-05-22 14:00,2025-05-22 15:00
QAN,Long,15.02,8.29,8.57,2025-05-26 10:45,2025-05-26 11:15
TJXQ,Long,36.22,44.42,45.18,2025-05-28 12:10,2025-05-28 14:10
QAN,Long,-22.9,7.08,6.96,2025-06-03 15:05,2025-06-03 19:05
TJXQ,Long,-230.33,61.77,60.27,2025-06-05 12:45,2025-06-05 13:00
CBA,Long,-5.97,176.91,176.89,2025-06-09 13:45,2025-06-09 15:15
QAN,Long,-20.12,7.24,7.15,2025-06-10 11:15,2025-06-10 13:15
TJXQ,Long,192.37,49.27,51.21,2025-06-13 14:45,2025-06-13 15:00
CBA,Long,68.05,177.85,181.56,2025-06-16 14:10,2025-06-16 15:10
QAN,Long,18.97,8.32,8.42,2025-06-20 10:30,2025-06-20 12:30
TJXQ,Long,-159.46,55.1,53.54,2025-06-23 11:05,2025-06-23 11:50
CBA,Long,98.51,167.92,173.08,2025-06-26 11:10,2025-06-26 15:10
QAN,Long,-19.33,10.3,10.17,2025-06-30 13:30,2025-06-30 15:30
CBA,Long,-16.92,112.22,111.61,2025-07-02 12:45,2025-07-02 14:15
QAN,Long,18.85,8.01,8.22,2025-07-04 13:00,2025-07-04 15:00
TJXQ,Long,-62.31,61.86,60.72,2025-07-08 15:10,2025-07-08 18:10
CBA,Long,-39.43,114.33,110.72,2025-07-11 10:00,2025-07-11 11:00
QAN,Long,-39.73,9.82,9.58,2025-07-15 15:30,2025-07-15 18:30
TJXQ,Long,140.07,49.73,50.7,2025-07-17 14:15,2025-07-17 15:45
CBA,Long,-23.67,107.62,106.84,2025-07-21 12:30,2025-07-21 14:30
QAN,Long,-10.69,4.86,4.79,2025-07-23 10:45,2025-07-23 11:45
TJXQ,Long,23.7,51.74,52.25,2025-07-25 11:10,2025-07-25 11:55
CBA,Long,25.95,168.09,169.72,2025-07-28 11:30,2025-07-28 13:00
TJXQ,Long,-79.29,57.55,56.01,2025-08-01 15:00,2025-08-01 19:00
CBA,Long,-35.45,140.86,139.75,2025-08-06 11:30,2025-08-06 11:45
QAN,Long,67.87,8.86,9.15,2025-08-08 15:00,2025-08-08 15:15
TJXQ,Long,271.88,64.95,66.8,2025-08-11 15:15,2025-08-11 15:45
CBA,Long,-30.69,176.94,175.02,2025-08-14 14:45,2025-08-14 16:45
QAN,Long,2.78,6.79,6.86,2025-08-18 13:00,2025-08-18 13:30
TJXQ,Long,158.17,59.55,60.37,2025-08-19 13:15,2025-08-19 14:15
CBA,Long,89.5,138.11,141.85,2025-08-22 12:15,2025-08-22 14:15
QAN,Long,-10.12,8.49,8.43,2025-08-26 10:00,2025-08-26 10:30
TJXQ,Long,-221.24,31.45,30.58,2025-08-28 14:00,2025-08-28 16:00
QAN,Long,-17.15,8.52,8.48,2025-09-02 15:00,2025-09-02 16:30
TJXQ,Long,-90.54,50.22,49.79,2025-09-04 15:15,2025-09-04 16:15
CBA,Long,-49.01,172.78,171.27,2025-09-08 14:05,2025-09-08 17:05
QAN,Long,66.82,9.57,9.93,2025-09-12 14:00,2025-09-12 15:30
TJXQ,Long,-49.03,29.07,28.65,2025-09-15 15:00,2025-09-15 15:30
CBA,Long,-81.97,164.69,161.58,2025-09-16 12:10,2025-09-16 14:10
QAN,Long,-3.3,9.16,9.23,2025-09-19 11:30,2025-09-19 11:45
TJXQ,Long,-196.54,52.94,52.17,2025-09-24 13:15,2025-09-24 14:45
CBA,Long,4.32,122.25,122.67,2025-09-26 15:45,2025-09-26 19:45
QAN,Long,-10.62,7.66,7.57,2025-09-30 10:00,2025-09-30 11:00
CBA,Long,-43.13,129.11,126.64,2025-10-02 12:00,2025-10-02 12:15
QAN,Long,-5.28,7.48,7.46,2025-10-06 11:30,2025-10-06 13:30
TJXQ,Long,41.38,30.67,31.58,2025-10-08 10:10,2025-10-08 13:10
CBA,Long,65.51,150.87,153.62,2025-10-10 14:15,2025-10-10 16:15
QAN,Long,6.39,5.03,5.17,2025-10-14 14:00,2025-10-14 17:00
TJXQ,Long,91.0,60.21,61.47,2025-10-16 10:30,2025-10-16 11:00
CBA,Long,-64.01,147.45,144.43,2025-10-21 11:05,2025-10-21 11:35
QAN,Long,-24.42,5.38,5.27,2025-10-24 10:05,2025-10-24 14:05
TJXQ,Long,61.81,45.17,45.5,2025-10-27 15:45,2025-10-27 17:45
CBA,Long,27.36,174.14,176.24,2025-10-29 13:45,2025-10-29 15:15
TJXQ,Long,49.46,57.46,58.0,2025-11-03 13:15,2025-11-03 13:30
CBA,Long,51.02,140.98,144.61,2025-11-05 14:05,2025-11-05 14:20
QAN,Long,11.61,7.2,7.39,2025-11-07 14:45,2025-11-07 15:30
TJXQ,Long,74.86,29.45,29.98,2025-11-12 11:10,2025-11-12 13:10
CBA,Long,-26.77,178.43,177.37,2025-11-13 15:45,2025-11-13 17:45
QAN,Long,-38.82,4.9,4.76,2025-11-17 15:45,2025-11-17 16:30
TJXQ,Long,19.25,40.33,40.68,2025-11-20 15:45,2025-11-20 18:45
CBA,Long,17.54,115.32,117.41,2025-11-24 15:30,2025-11-24 16:00
QAN,Long,-4.61,8.38,8.35,2025-11-26 11:05,2025-11-26 13:05
TJXQ,Long,-0.75,63.06,63.15,2025-11-28 10:10,2025-11-28 10:40
QAN,Long,3.2,7.55,7.59,2025-12-01 15:10,2025-12-01 15:55
TJXQ,Long,-94.24,50.1,48.93,2025-12-05 10:15,2025-12-05 12:15
CBA,Long,-73.41,159.11,156.38,2025-12-09 13:05,2025-12-09 14:05
QAN,Long,17.08,6.36,6.52,2025-12-10 12:45,2025-12-10 16:45
TJXQ,Long,-99.02,45.08,44.45,2025-12-15 11:10,2025-12-15 11:25
CBA,Long,136.29,156.29,161.07,2025-12-18 14:00,2025-12-18 15:30
QAN,Long,-23.43,5.0,4.89,2025-12-19 13:00,2025-12-19 14:00
TJXQ,Long,87.51,58.22,60.05,2025-12-23 14:10,2025-12-23 15:10
CBA,Long,-60.47,135.89,131.97,2025-12-25 15:45,2025-12-25 17:45
QAN,Long,-30.0,9.25,9.02,2025-12-29 15:05,2025-12-29 19:05
CBA,Long,-50.41,140.89,136.01,2026-01-01 11:30,2026-01-01 14:30
QAN,Long,-9.23,5.17,5.1,2026-01-06 13:00,2026-01-06 13:30
TJXQ,Long,28.4,58.96,59.11,2026-01-09 14:05,2026-01-09 14:50
CBA,Long,-92.54,128.3,123.82,2026-01-12 10:30,2026-01-12 12:30
QAN,Long,-2.22,4.91,4.93,2026-01-15 14:00,2026-01-15 17:00
TJXQ,Long,-293.89,60.31,58.4,2026-01-16 15:45,2026-01-16 16:15
CBA,Long,64.9,166.72,170.08,2026-01-20 14:10,2026-01-20 14:55
QAN,Long,35.63,9.48,9.64,2026-01-22 11:00,2026-01-22 15:00
TJXQ,Long,-50.31,29.37,28.79,2026-01-26 12:30,2026-01-26 15:30
CBA,Long,19.28,184.13,185.18,2026-01-30 11:10,2026-01-30 13:10
TJXQ,Long,-473.49,59.9,58.02,2026-02-02 15:15,2026-02-02 18:15
CBA,Long,-72.95,132.12,129.35,2026-02-06 12:00,2026-02-06 15:00
QAN,Long,-1.02,4.97,5.02,2026-02-09 13:05,2026-02-09 17:05
TJXQ,Long,-136.19,41.01,39.7,2026-02-11 12:45,2026-02-11 13:00
CBA,Long,23.82,111.0,112.42,2026-02-13 11:30,2026-02-13 15:30
QAN,Long,-38.7,4.71,4.57,2026-02-17 14:00,2026-02-17 14:45
TJXQ,Long,187.84,53.13,55.05,2026-02-19 14:05,2026-02-19 16:05
CBA,Long,20.94,136.84,138.72,2026-02-23 14:15,2026-02-23 14:45
QAN,Long,-16.29,6.07,5.98,2026-02-27 12:45,2026-02-27 16:45
TJXQ,Long,-48.21,35.41,34.53,2026-02-02 13:00,2026-02-02 15:00
QAN,Long,27.25,8.51,8.67,2026-03-02 11:45,2026-03-02 12:30
TJXQ,Long,1.59,57.37,57.55,2026-03-04 11:15,2026-03-04 11:30
CBA,Long,20.18,133.87,134.93,2026-03-09 11:30,2026-03-09 12:00
QAN,Long,-13.31,4.89,4.86,2026-03-12 13:15,2026-03-12 13:45
TJXQ,Long,-22.7,32.64,32.27,2026-03-13 14:45,2026-03-13 15:30
CBA,Long,-133.26,166.42,162.21,2026-03-16 10:30,2026-03-16 11:15
QAN,Long,-37.85,6.32,6.18,2026-03-20 11:45,2026-03-20 13:15
TJXQ,Long,-82.06,32.63,32.23,2026-03-24 11:30,2026-03-24 12:15
CBA,Long,38.47,118.7,120.1,2026-03-27 10:00,2026-03-27 10:30
QAN,Long,8.91,4.77,4.83,2026-03-30 15:00,2026-03-30 19:00
CBA,Long,16.4,176.12,177.16,2026-04-03 13:10,2026-04-03 17:10
QAN,Long,-26.49,4.94,4.79,2026-04-06 11:10,2026-04-06 13:10
TJXQ,Long,242.22,55.17,56.8,2026-04-08 14:30,2026-04-08 15:00
CBA,Long,-4.2,130.53,130.53,2026-04-10 10:00,2026-04-10 11:30
QAN,Long,42.01,10.17,10.47,2026-04-13 12:30,2026-04-13 14:30
TJXQ,Long,-166.3,35.02,34.21,2026-04-17 13:00,2026-04-17 13:30
CBA,Long,5.16,180.62,181.15,2026-04-20 10:00,2026-04-20 11:30
QAN,Long,51.96,7.47,7.7,2026-04-23 14:00,2026-04-23 14:30
TJXQ,Long,338.81,43.94,45.31,2026-04-27 11:10,2026-04-27 12:40
CBA,Long,6.12,110.88,111.19,2026-04-30 15:30,2026-04-30 16:00
TJXQ,Long,-97.27,32.76,31.85,2026-05-01 11:30,2026-05-01 14:30
CBA,Long,-74.48,145.01,140.43,2026-05-05 14:15,2026-05-05 15:00
QAN,Long,-4.09,8.14,8.17,2026-05-08 11:15,2026-05-08 12:45
TJXQ,Long,25.31,49.97,50.12,2026-05-12 14:10,2026-05-12 18:10
CBA,Long,-19.98,170.26,169.0,2026-05-15 12:45,2026-05-15 13:00
QAN,Long,-36.2,8.08,7.96,2026-05-18 14:05,2026-05-18 14:20
TJXQ,Long,-280.83,49.59,48.49,2026-05-20 11:45,2026-05-20 12:45
CBA,Long,36.16,107.53,111.41,2026-05-22 13:45,2026-05-22 14:45
QAN,Long,17.26,6.96,7.12,2026-05-27 15:00,2026-05-27 15:45
TJXQ,Long,78.13,47.19,47.52,2026-05-29 12:05,2026-05-29 16:05
QAN,Long,-14.56,9.97,9.88,2026-06-03 15:45,2026-06-03 17:15
TJXQ,Long,-81.17,50.57,49.53,2026-06-05 11:10,2026-06-05 12:40
CBA,Long,64.35,161.39,164.1,2026-06-08 14:45,2026-06-08 16:15
QAN,Long,6.22,6.23,6.28,2026-06-11 12:05,2026-06-11 13:35
TJXQ,Long,50.42,29.56,30.64,2026-06-15 13:05,2026-06-15 14:05
CBA,Long,-80.98,171.24,168.73,2026-06-16 10:30,2026-06-16 11:30
QAN,Long,15.15,5.95,6.04,2026-06-19 10:00,2026-06-19 13:00
TJXQ,Long,-1.12,40.22,40.24,2026-06-22 14:05,2026-06-22 17:05
CBA,Long,117.64,157.23,162.11,2026-06-25 12:10,2026-06-25 13:40
QAN,Long,8.59,8.38,8.66,2026-06-30 10:05,2026-06-30 13:05
